n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,gamma::BE::NoTable,read_buff,0.60829,2.1313513636363637,0.016066510406885105,2.120013,2.128258,2.133142
1,1,gamma::BE::NoTable,read_unbuff,0.60829,5.373786181818182,0.030192920139722173,5.362681,5.370854,5.372811
1,1,gamma::BE::Table,read_buff,0.607093,4.198104,0.014874504186694776,4.189995,4.201684,4.204027
1,1,gamma::BE::Table,read_unbuff,0.607093,6.589317090909092,0.024996851087504803,6.56955,6.584844,6.597028
1,1,gamma::LE::NoTable,read_buff,0.607906,1.8925766363636367,0.030676427351543866,1.872612,1.902343,1.908894
1,1,gamma::LE::NoTable,read_unbuff,0.607906,4.902591909090909,0.020079833059338775,4.885058,4.903552,4.915734
1,1,gamma::LE::Table,read_buff,0.607614,4.069234818181818,0.012623570792911041,4.058564,4.062707,4.077757
1,1,gamma::LE::Table,read_unbuff,0.607614,6.006800727272727,0.024225423691200433,5.989885,6.013611,6.021775
1,1,zeta3::BE::NoTable,read_buff,0,7.09614890909091,0.02771506288448414,7.077418,7.095239,7.114813
1,1,zeta3::BE::NoTable,read_unbuff,0,8.94556890909091,0.02370811586547766,8.93513,8.946846,8.95402
1,1,zeta3::BE::Table,read_buff,0,7.115231636363637,0.029694977869238012,7.103827,7.110063,7.118598
1,1,zeta3::BE::Table,read_unbuff,0,8.808752181818182,0.04563686983310359,8.781091,8.78823,8.805514
1,1,zeta3::LE::NoTable,read_buff,0,6.993100454545454,0.020037496547042247,6.974476,6.993805,7.006492
1,1,zeta3::LE::NoTable,read_unbuff,0,8.379736,0.040912218588094316,8.344642,8.366754,8.395953
1,1,zeta3::LE::Table,read_buff,0,6.9969827272727265,0.028798521715848076,6.97983,6.987591,7.007499
1,1,zeta3::LE::Table,read_unbuff,0,8.392930363636365,0.014752279276591422,8.382622,8.39504,8.399178
1,1,delta::BE::Table,read_buff,0.279893,5.206941181818183,0.017774480132021982,5.194621,5.202731,5.208209
1,1,delta::BE::Table,read_unbuff,0.279893,7.423102181818182,0.03231580115924151,7.392421,7.429256,7.450193
1,1,delta::BE::NoTable,read_buff,0.280227,4.2214600909090905,0.0253423444355668,4.195774,4.223061,4.225428
1,1,delta::BE::NoTable,read_unbuff,0.280227,7.038329545454546,0.03404612873841505,7.020151,7.045794,7.054654
1,1,delta::LE::Table,read_buff,0.279535,4.834420090909091,0.014808692551704533,4.822151,4.835523,4.840253
1,1,delta::LE::Table,read_unbuff,0.279535,6.609477181818183,0.04206568157017854,6.571008,6.616271,6.63606
1,1,delta::LE::NoTable,read_buff,0.279854,3.8710816363636367,0.01319094315257798,3.86277,3.874729,3.877822
1,1,delta::LE::NoTable,read_unbuff,0.279854,6.3696197272727275,0.03915410699809395,6.341722,6.36998,6.371667
1,1,delta_gamma::BE::Table,read_buff,0.279896,4.825108181818182,0.07681222482758604,4.751261,4.83949,4.859655
1,1,delta_gamma::BE::Table,read_unbuff,0.279896,6.360042272727273,0.04839916937735792,6.323097,6.353256,6.396946
1,1,delta_gamma::BE::NoTable,read_buff,0.279755,3.497237636363636,0.04025414674855933,3.468485,3.507102,3.508882
1,1,delta_gamma::BE::NoTable,read_unbuff,0.279755,6.239947909090909,0.026754683464599437,6.215916,6.241868,6.249082
1,1,delta_gamma::LE::Table,read_buff,0.279657,4.398065363636364,0.015362612116907329,4.387802,4.394975,4.398989
1,1,delta_gamma::LE::Table,read_unbuff,0.279657,5.807412636363636,0.02790244732016429,5.782425,5.807631,5.818601
1,1,delta_gamma::LE::NoTable,read_buff,0.279,3.1703710909090903,0.007748708737003192,3.164953,3.169706,3.173336
1,1,delta_gamma::LE::NoTable,read_unbuff,0.279,5.756118272727273,0.019590042874332386,5.749254,5.750564,5.766028
1,2,gamma::BE::NoTable,read_buff,0.607896,2.098781181818182,0.019022803677787276,2.079649,2.09665,2.111601
1,2,gamma::BE::NoTable,read_unbuff,0.607896,5.389616909090909,0.01791255455514111,5.379293,5.387189,5.391455
1,2,gamma::BE::Table,read_buff,0.606999,4.217234272727272,0.012918097352868292,4.205282,4.216231,4.218769
1,2,gamma::BE::Table,read_unbuff,0.606999,6.562615909090909,0.01718527713744855,6.546187,6.567147,6.571677
1,2,gamma::LE::NoTable,read_buff,0.608928,1.9012377272727272,0.013160304161309548,1.898203,1.901486,1.901891
1,2,gamma::LE::NoTable,read_unbuff,0.608928,4.966299454545454,0.024917708636083016,4.947467,4.956077,4.976851
1,2,gamma::LE::Table,read_buff,0.607407,4.060769636363636,0.014477424241022486,4.045988,4.063094,4.068768
1,2,gamma::LE::Table,read_unbuff,0.607407,5.989247636363635,0.0214153522888264,5.971626,5.975244,6.004111
1,2,zeta3::BE::NoTable,read_buff,0,7.03025490909091,0.021352100086195733,7.00926,7.028859,7.042975
1,2,zeta3::BE::NoTable,read_unbuff,0,8.879480181818181,0.0398955021545491,8.848061,8.876116,8.886897
1,2,zeta3::BE::Table,read_buff,0,7.027987545454545,0.012799342712527237,7.018166,7.026256,7.029124
1,2,zeta3::BE::Table,read_unbuff,0,8.852842909090908,0.04188133195698195,8.802409,8.86722,8.882575
1,2,zeta3::LE::NoTable,read_buff,0,6.952966272727274,0.018278460882092423,6.941108,6.952955,6.959531
1,2,zeta3::LE::NoTable,read_unbuff,0,8.418171181818181,0.05333224298080542,8.384886,8.400815,8.414158
1,2,zeta3::LE::Table,read_buff,0,6.940682636363637,0.026248538825133543,6.923996,6.946757,6.952083
1,2,zeta3::LE::Table,read_unbuff,0,8.413068636363636,0.00949617621227331,8.407014,8.413979,8.416069
1,2,delta::BE::Table,read_buff,0.279741,5.253627090909091,0.02389094924633395,5.236492,5.255358,5.264067
1,2,delta::BE::Table,read_unbuff,0.279741,7.422376181818182,0.02523893697768655,7.397582,7.420123,7.432052
1,2,delta::BE::NoTable,read_buff,0.279711,4.232196090909091,0.04393044031068793,4.194022,4.210164,4.261376
1,2,delta::BE::NoTable,read_unbuff,0.279711,7.137418090909091,0.03009357322570569,7.115137,7.145112,7.152686
1,2,delta::LE::Table,read_buff,0.28027,4.885580090909092,0.014190302452411102,4.878639,4.885343,4.888043
1,2,delta::LE::Table,read_unbuff,0.28027,6.604036454545455,0.021358789766106348,6.587757,6.601208,6.613514
1,2,delta::LE::NoTable,read_buff,0.279834,3.7758154545454548,0.006987670303665401,3.769931,3.775835,3.781066
1,2,delta::LE::NoTable,read_unbuff,0.279834,6.217360272727273,0.027415991986761694,6.196948,6.209312,6.226173
1,2,delta_gamma::BE::Table,read_buff,0.279433,4.766832999999999,0.02190623739486073,4.755727,4.763144,4.766901
1,2,delta_gamma::BE::Table,read_unbuff,0.279433,6.303188818181819,0.032093454350749506,6.268997,6.302748,6.330465
1,2,delta_gamma::BE::NoTable,read_buff,0.278877,3.4299148181818175,0.00804890148800655,3.422522,3.428883,3.43264
1,2,delta_gamma::BE::NoTable,read_unbuff,0.278877,6.299649454545455,0.02248398612952614,6.282881,6.298278,6.304023
1,2,delta_gamma::LE::Table,read_buff,0.280194,4.375285090909091,0.009071256422949807,4.369317,4.374864,4.379069
1,2,delta_gamma::LE::Table,read_unbuff,0.280194,5.767236000000001,0.023591627451280312,5.74264,5.767995,5.77814
1,2,delta_gamma::LE::NoTable,read_buff,0.279516,3.2224467272727275,0.022494890780312336,3.205452,3.209796,3.235667
1,2,delta_gamma::LE::NoTable,read_unbuff,0.279516,5.787069363636364,0.015205878490062549,5.776341,5.791448,5.794888
2,1,gamma::BE::NoTable,read_buff,0.607871,2.0305660909090912,0.01207186289231736,2.022778,2.037202,2.038589
2,1,gamma::BE::NoTable,read_unbuff,0.607871,5.366525272727272,0.016211508258585344,5.350883,5.36484,5.374924
2,1,gamma::BE::Table,read_buff,0.6072,4.153947818181818,0.016231331287471163,4.146552,4.156522,4.162329
2,1,gamma::BE::Table,read_unbuff,0.6072,6.611187727272727,0.019414188992028087,6.590636,6.618187,6.62508
2,1,gamma::LE::NoTable,read_buff,0.608228,1.8734958181818182,0.02860456191525468,1.848986,1.870368,1.886289
2,1,gamma::LE::NoTable,read_unbuff,0.608228,4.916929909090909,0.01716054927707465,4.906016,4.916971,4.926087
2,1,gamma::LE::Table,read_buff,0.607331,4.139908545454546,0.00854984482155829,4.134594,4.140427,4.142486
2,1,gamma::LE::Table,read_unbuff,0.607331,6.079639,0.030148934093927764,6.048799,6.087412,6.097676
2,1,zeta3::BE::NoTable,read_buff,0,7.047498909090909,0.016459040643090738,7.037815,7.052412,7.057221
2,1,zeta3::BE::NoTable,read_unbuff,0,8.879554090909092,0.023189309931321993,8.867623,8.878507,8.892867
2,1,zeta3::BE::Table,read_buff,0,7.080763545454546,0.008721207879229113,7.074486,7.080008,7.08277
2,1,zeta3::BE::Table,read_unbuff,0,9.03579609090909,0.033706335761854944,9.010455,9.038733,9.05756
2,1,zeta3::LE::NoTable,read_buff,0,6.939818000000001,0.016474685417330284,6.926953,6.940679,6.945003
2,1,zeta3::LE::NoTable,read_unbuff,0,8.408095272727271,0.01760931104893605,8.398299,8.409355,8.414927
2,1,zeta3::LE::Table,read_buff,0,7.035879363636363,0.056014951190325506,7.018415,7.046784,7.061833
2,1,zeta3::LE::Table,read_unbuff,0,8.359577545454545,0.047258672316017665,8.325843,8.374769,8.378345
2,1,delta::BE::Table,read_buff,0.279865,5.1617073636363635,0.027388205875057737,5.140668,5.155141,5.175516
2,1,delta::BE::Table,read_unbuff,0.279865,7.5970070909090905,0.029384530108390497,7.565655,7.595669,7.60004
2,1,delta::BE::NoTable,read_buff,0.279383,4.289303181818182,0.0414127014811113,4.248937,4.282011,4.321877
2,1,delta::BE::NoTable,read_unbuff,0.279383,7.139985,0.028599028154816727,7.118133,7.139313,7.16253
2,1,delta::LE::Table,read_buff,0.278659,4.714610272727272,0.02015188196219348,4.70257,4.708368,4.722245
2,1,delta::LE::Table,read_unbuff,0.278659,6.675308636363637,0.0196440905988175,6.65944,6.678697,6.684944
2,1,delta::LE::NoTable,read_buff,0.279849,3.792312090909091,0.014122499038446009,3.781428,3.789176,3.796972
2,1,delta::LE::NoTable,read_unbuff,0.279849,6.287819909090909,0.02192626922417288,6.282265,6.287391,6.297156
2,1,delta_gamma::BE::Table,read_buff,0.279855,4.667217272727274,0.03793206304458259,4.639419,4.653141,4.672635
2,1,delta_gamma::BE::Table,read_unbuff,0.279855,6.421676818181817,0.03857608287739489,6.385352,6.423005,6.445239
2,1,delta_gamma::BE::NoTable,read_buff,0.279318,3.5312888181818183,0.026721295540516665,3.521435,3.544049,3.546882
2,1,delta_gamma::BE::NoTable,read_unbuff,0.279318,6.303985,0.05745510879982745,6.269698,6.322642,6.343965
2,1,delta_gamma::LE::Table,read_buff,0.279878,4.5039644545454545,0.01603127560341744,4.490228,4.50437,4.516961
2,1,delta_gamma::LE::Table,read_unbuff,0.279878,5.890793363636363,0.03266557985792613,5.871979,5.883544,5.908262
2,1,delta_gamma::LE::NoTable,read_buff,0.279519,3.123681636363637,0.022996780810681905,3.111251,3.123847,3.128391
2,1,delta_gamma::LE::NoTable,read_unbuff,0.279519,5.725417090909091,0.018618521458239123,5.713564,5.718783,5.729778
2,2,gamma::BE::NoTable,read_buff,0.607228,2.034991181818182,0.009404795668361759,2.023325,2.033893,2.039151
2,2,gamma::BE::NoTable,read_unbuff,0.607228,5.368648818181819,0.02479819645788044,5.355392,5.373129,5.384461
2,2,gamma::BE::Table,read_buff,0.60775,4.245394181818182,0.008758442599208676,4.238618,4.250016,4.252729
2,2,gamma::BE::Table,read_unbuff,0.60775,6.580796636363636,0.016085653050297462,6.564408,6.583514,6.586586
2,2,gamma::LE::NoTable,read_buff,0.608653,1.9199480909090914,0.020261989391244607,1.901373,1.918322,1.928346
2,2,gamma::LE::NoTable,read_unbuff,0.608653,5.000358090909091,0.03226018788678863,4.980149,4.997499,5.016983
2,2,gamma::LE::Table,read_buff,0.60836,4.155626,0.009589142391267345,4.151395,4.154517,4.159079
2,2,gamma::LE::Table,read_unbuff,0.60836,6.061347636363636,0.026430566684324933,6.053908,6.065896,6.07166
2,2,zeta3::BE::NoTable,read_buff,0,7.009350545454546,0.02665261100291542,6.981938,7.01332,7.025072
2,2,zeta3::BE::NoTable,read_unbuff,0,8.890710363636366,0.02489806400615432,8.874169,8.882424,8.893866
2,2,zeta3::BE::Table,read_buff,0,7.098505727272728,0.015728691522761216,7.080126,7.100629,7.101776
2,2,zeta3::BE::Table,read_unbuff,0,9.082354363636364,0.025329297456790023,9.05843,9.077593,9.098298
2,2,zeta3::LE::NoTable,read_buff,0,6.938061727272728,0.023846153744748435,6.922784,6.937162,6.938312
2,2,zeta3::LE::NoTable,read_unbuff,0,8.412520454545453,0.032319122486118346,8.377045,8.415408,8.422434
2,2,zeta3::LE::Table,read_buff,0,6.9711228181818194,0.013544585138114589,6.957908,6.972826,6.978023
2,2,zeta3::LE::Table,read_unbuff,0,8.350633727272728,0.017581653654255153,8.332178,8.358136,8.36536
2,2,delta::BE::Table,read_buff,0.279749,5.273858272727273,0.03944787872900374,5.233035,5.267865,5.285129
2,2,delta::BE::Table,read_unbuff,0.279749,7.5029627272727275,0.01859986835486156,7.495919,7.503596,7.510823
2,2,delta::BE::NoTable,read_buff,0.280539,4.2278590909090905,0.012362634561084022,4.218034,4.229685,4.230167
