max,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
2,1,gamma::BE::NoTable,write,0.758909,2.514171272727273,0.05981284719538264,2.465311,2.492645,2.530437
2,1,gamma::BE::Table,write,0.760038,3.820466727272727,0.0018136260965761048,3.81902,3.820478,3.821019
2,1,gamma::LE::NoTable,write,0.759043,2.369152363636364,0.005534383331008656,2.365853,2.367061,2.368687
2,1,gamma::LE::Table,write,0.759992,3.6352581818181817,0.0038976008727981005,3.632645,3.634853,3.635769
2,1,zeta3::BE::NoTable,write,0.255787,10.287288454545457,0.009800222470573562,10.278853,10.285519,10.293686
2,1,zeta3::BE::Table,write,0.2564,8.307531,0.010025578636667318,8.300062,8.301645,8.313519
2,1,zeta3::LE::NoTable,write,0.256923,10.278152090909092,0.006901431452308097,10.272603,10.278353,10.280186
2,1,zeta3::LE::Table,write,0.257147,14.670974,0.004655730404565949,14.667728,14.671436,14.672394
2,1,omega::BE::NoTable,write,0.378408,11.420262090909093,0.02735851661714998,11.417394,11.426061,11.429686
2,1,omega::BE::Table,write,0.3794,11.205042545454544,0.01655566626483917,11.192895,11.199062,11.213103
2,1,omega::LE::NoTable,write,0.379196,11.559610363636365,0.008345760328128199,11.553978,11.559978,11.561061
2,1,omega::LE::Table,write,0.379535,11.245326363636364,0.006267101854489515,11.240644,11.246062,11.247019
2,1,delta::BE::Table,write,0.37911,7.52244,0.004983135779807869,7.519561,7.521186,7.522353
2,1,delta::BE::NoTable,write,0.379704,4.361417454545454,0.005787629866597099,4.358062,4.359769,4.36202
2,1,delta::LE::Table,write,0.379254,6.295894636363636,0.010760684748404383,6.289561,6.29202,6.294478
2,1,delta::LE::NoTable,write,0.379633,4.37616,0.0072285260461590105,4.370686,4.375062,4.378436
2,1,delta_gamma::BE::Table,write,0.378547,6.634404272727273,0.03555421471525118,6.589393,6.64756,6.650976
2,1,delta_gamma::BE::NoTable,write,0.378964,4.212756181818181,0.004850271844303154,4.209142,4.211226,4.211976
2,1,delta_gamma::LE::Table,write,0.379049,6.112138909090909,0.0029376062518501806,6.110601,6.111101,6.112268
2,1,delta_gamma::LE::NoTable,write,0.379088,4.16066909090909,0.005113392835574929,4.157643,4.158642,4.161392
2,2,gamma::BE::NoTable,write,0.760225,2.4849951818181815,0.029988743294170082,2.462522,2.46948,2.492438
2,2,gamma::BE::Table,write,0.759827,3.817703727272727,0.020466523564547534,3.804396,3.824897,3.827522
2,2,gamma::LE::NoTable,write,0.759599,2.3810860909090907,0.003157832847208525,2.377689,2.381438,2.381896
2,2,gamma::LE::Table,write,0.759909,3.6242714545454544,0.004605543776008134,3.621396,3.623521,3.624188
2,2,zeta3::BE::NoTable,write,0.25683,10.366157818181819,0.14877839918739438,10.290355,10.296563,10.311813
2,2,zeta3::BE::Table,write,0.255523,8.363472272727272,0.007154609508434359,8.357396,8.362438,8.364188
2,2,zeta3::LE::NoTable,write,0.256873,10.459934454545454,0.13506975255205295,10.283396,10.552605,10.553146
2,2,zeta3::LE::Table,write,0.256699,14.898949545454546,0.1879620161965514,14.762147,14.771647,15.049646
2,2,omega::BE::NoTable,write,0.378828,11.430093545454545,0.003902232831691039,11.428188,11.431313,11.432063
2,2,omega::BE::Table,write,0.379064,11.180805818181819,0.017971584180690267,11.16348,11.180647,11.19198
2,2,omega::LE::NoTable,write,0.378983,11.520775636363636,0.016633957095487963,11.508814,11.515939,11.523272
2,2,omega::LE::Table,write,0.379189,11.239162,0.010550169818538124,11.229813,11.23798,11.247439
2,2,delta::BE::Table,write,0.378911,7.514127454545455,0.008426200274900217,7.50848,7.510646,7.513938
2,2,delta::BE::NoTable,write,0.379212,4.368389363636364,0.005570099986045417,4.365772,4.366021,4.366939
2,2,delta::LE::Table,write,0.379086,6.296146454545455,0.010477551005493753,6.289438,6.291646,6.292355
2,2,delta::LE::NoTable,write,0.37871,4.3800670909090895,0.008469612180667302,4.374146,4.376063,4.378147
2,2,delta_gamma::BE::Table,write,0.378159,6.435966545454546,0.03583371959583226,6.409895,6.436103,6.440686
2,2,delta_gamma::BE::NoTable,write,0.380293,3.860963090909091,0.00910002153244202,3.854562,3.855936,3.861812
