n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,gamma::BE::NoTable,read_buff,0.607127,3.819142363636364,0.01663435880503201,3.807206,3.816733,3.825526
1,1,gamma::BE::NoTable,read_unbuff,0.607127,7.925885,0.028990793445506112,7.902755,7.931128,7.933868
1,1,gamma::BE::Table,read_buff,0.608651,7.1939757272727265,0.015150096891379297,7.18072,7.194784,7.205452
1,1,gamma::BE::Table,read_unbuff,0.608651,9.342333909090907,0.04035935373975782,9.309732,9.357635,9.368436
1,1,gamma::LE::NoTable,read_buff,0.608475,3.6045419090909085,0.007718743789692032,3.596938,3.604799,3.61119
1,1,gamma::LE::NoTable,read_unbuff,0.608475,7.367420454545455,0.013805487346440312,7.358541,7.368736,7.377046
1,1,gamma::LE::Table,read_buff,0.608043,6.9452193636363635,0.011759680457161536,6.935292,6.94332,6.947062
1,1,gamma::LE::Table,read_unbuff,0.608043,8.520323363636363,0.009965169042948845,8.511938,8.517407,8.526492
1,1,zeta3::BE::NoTable,read_buff,0,13.486241363636363,0.023262188711609903,13.469909,13.485264,13.500892
1,1,zeta3::BE::NoTable,read_unbuff,0,12.187839636363636,0.06010315110420223,12.148178,12.178524,12.200648
1,1,zeta3::BE::Table,read_buff,0,13.401232545454546,0.0698115228072895,13.37234,13.390119,13.397453
1,1,zeta3::BE::Table,read_unbuff,0,12.70785509090909,0.05052465869148354,12.681428,12.691323,12.698322
1,1,zeta3::LE::NoTable,read_buff,0,12.988639727272727,0.010089773724825763,12.980249,12.989852,12.990722
1,1,zeta3::LE::NoTable,read_unbuff,0,11.89645490909091,0.04528447570515668,11.871986,11.87402,11.886513
1,1,zeta3::LE::Table,read_buff,0,13.058968363636364,0.04388781634411262,13.029879,13.052785,13.074666
1,1,zeta3::LE::Table,read_unbuff,0,12.003186818181819,0.1383526029511683,11.889021,11.962049,11.983876
1,1,delta::BE::Table,read_buff,0.280073,9.737859,0.03055049401891897,9.713189,9.736253,9.740074
1,1,delta::BE::Table,read_unbuff,0.280073,11.374952,0.016329397092360934,11.36646,11.372621,11.375969
1,1,delta::BE::NoTable,read_buff,0.279198,8.264188454545454,0.03026774406315615,8.249123,8.263219,8.271977
1,1,delta::BE::NoTable,read_unbuff,0.279198,11.07101090909091,0.03109802175204895,11.057307,11.064948,11.076612
1,1,delta::LE::Table,read_buff,0.279343,9.364013090909092,0.1472659064647718,9.248966,9.370057,9.388563
1,1,delta::LE::Table,read_unbuff,0.279343,10.347678727272726,0.06897013217921334,10.302507,10.33787,10.382132
1,1,delta::LE::NoTable,read_buff,0.27995,7.227079000000001,0.019410179185159703,7.2175,7.223096,7.237962
1,1,delta::LE::NoTable,read_unbuff,0.27995,9.86251,0.029539569966402765,9.830771,9.86878,9.879417
1,1,delta_gamma::BE::Table,read_buff,0.279988,8.454441,0.028127380976550063,8.429687,8.452592,8.460347
1,1,delta_gamma::BE::Table,read_unbuff,0.279988,9.407935272727272,0.024650678741531016,9.39846,9.400596,9.407843
1,1,delta_gamma::BE::NoTable,read_buff,0.279713,7.277132272727273,0.013921349022928143,7.270419,7.274348,7.277163
1,1,delta_gamma::BE::NoTable,read_unbuff,0.279713,9.582191000000002,0.056592169117290224,9.546701,9.585591,9.596492
1,1,delta_gamma::LE::Table,read_buff,0.279374,8.109776454545456,0.03718920241511938,8.074635,8.119778,8.131454
1,1,delta_gamma::LE::Table,read_unbuff,0.279374,8.486013454545455,0.04017095912313665,8.460245,8.473527,8.489992
1,1,delta_gamma::LE::NoTable,read_buff,0.27973,6.576844272727272,0.007534120600188477,6.571881,6.57653,6.578301
1,1,delta_gamma::LE::NoTable,read_unbuff,0.27973,8.486332545454545,0.03961655190791746,8.445141,8.500542,8.505291
1,2,gamma::BE::NoTable,read_buff,0.606739,3.8140785454545454,0.015087444133209789,3.804676,3.81676,3.821914
1,2,gamma::BE::NoTable,read_unbuff,0.606739,7.921137181818182,0.026936434032062154,7.899496,7.919052,7.926767
1,2,gamma::BE::Table,read_buff,0.60801,7.299557,0.02416364572658696,7.279654,7.301463,7.306293
1,2,gamma::BE::Table,read_unbuff,0.60801,9.420828545454546,0.021852473179773565,9.406136,9.412852,9.421362
