n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,gamma::BE::NoTable,read_buff,0.607385,3.235028181818182,0.012198204251595247,3.224269,3.232573,3.241663
1,1,gamma::BE::NoTable,read_unbuff,0.607385,8.264147999999999,0.07299895153356645,8.213648,8.233919,8.256958
1,1,gamma::BE::Table,read_buff,0.608497,6.430547818181818,0.0033865793012473784,6.426839,6.431358,6.43253
1,1,gamma::BE::Table,read_unbuff,0.608497,9.995997909090908,0.0348512096445864,9.972411,9.991151,10.018753
1,1,gamma::LE::NoTable,read_buff,0.608749,3.152211909090909,0.0035726746410650496,3.1489,3.15241,3.154338
1,1,gamma::LE::NoTable,read_unbuff,0.608749,7.669824636363637,0.06128357049205397,7.613068,7.685505,7.705377
1,1,gamma::LE::Table,read_buff,0.608034,6.204197999999999,0.01825740548380312,6.190007,6.191584,6.207559
1,1,gamma::LE::Table,read_unbuff,0.608034,9.112737,0.034470784566064255,9.091718,9.119359,9.127242
1,1,zeta3::BE::NoTable,read_buff,0,10.527090272727273,0.014065049186482485,10.516375,10.526374,10.532691
1,1,zeta3::BE::NoTable,read_unbuff,0,13.294512636363637,0.013836252442570791,13.285024,13.294133,13.300793
1,1,zeta3::BE::Table,read_buff,0,10.686075727272728,0.02627941016495974,10.659231,10.684689,10.701076
1,1,zeta3::BE::Table,read_unbuff,0,13.090474000000002,0.00746450191238495,13.084387,13.09102,13.09138
1,1,zeta3::LE::NoTable,read_buff,0,10.320091363636363,0.028941968665841398,10.298971,10.322997,10.340565
1,1,zeta3::LE::NoTable,read_unbuff,0,12.393727363636364,0.03558898025589619,12.365824,12.387951,12.397298
1,1,zeta3::LE::Table,read_buff,0,10.524642454545456,0.017329585126964853,10.507153,10.520623,10.529959
1,1,zeta3::LE::Table,read_unbuff,0,12.408950999999998,0.04355119474825033,12.379826,12.394245,12.415924
1,1,delta::BE::Table,read_buff,0.279077,7.6027535454545445,0.006844576602882475,7.597712,7.599602,7.605432
1,1,delta::BE::Table,read_unbuff,0.279077,11.132613909090908,0.022628278495964122,11.103527,11.137215,11.139306
1,1,delta::BE::NoTable,read_buff,0.279859,6.304291999999999,0.008916102298650539,6.301414,6.304816,6.305738
1,1,delta::BE::NoTable,read_unbuff,0.279859,10.854802545454545,0.03063139991369523,10.826257,10.854555,10.875498
1,1,delta::LE::Table,read_buff,0.279559,7.118676454545454,0.021259809229452947,7.10101,7.115509,7.123303
1,1,delta::LE::Table,read_unbuff,0.279559,10.087000818181819,0.011493011353149963,10.076214,10.086525,10.09109
1,1,delta::LE::NoTable,read_buff,0.279798,5.649431090909092,0.0038802407258970158,5.647396,5.649914,5.650971
1,1,delta::LE::NoTable,read_unbuff,0.279798,9.568600545454547,0.023505932482518654,9.542637,9.564261,9.581562
1,1,delta_gamma::BE::Table,read_buff,0.278991,7.11490081818182,0.026243985580769524,7.095777,7.114892,7.12528
1,1,delta_gamma::BE::Table,read_unbuff,0.278991,9.819352727272728,0.014937250450407035,9.810346,9.818744,9.822024
1,1,delta_gamma::BE::NoTable,read_buff,0.279577,5.328451181818181,0.01937974563722743,5.320383,5.326673,5.34242
1,1,delta_gamma::BE::NoTable,read_unbuff,0.279577,9.860133272727273,0.019619605113716652,9.844528,9.863346,9.873146
1,1,delta_gamma::LE::Table,read_buff,0.279042,6.861302454545454,0.03570243867682897,6.837878,6.85017,6.88256
1,1,delta_gamma::LE::Table,read_unbuff,0.279042,8.874577727272726,0.03845026379647063,8.841146,8.880425,8.88908
